track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
INDUSTRY BABY (feat. Jack Harlow),"Jack Harlow, Lil Nas X",2,2021,7,23,13315,0,1814349763,300,47,150,74,89,70,2,0,5,6
Another Love,Tom Odell,1,2012,10,15,18371,83,1813673666,250,122,123,45,13,54,70,0,9,4
Mr. Brightside,The Killers,1,2003,9,23,51979,15,1806617704,306,99,148,35,24,93,0,0,10,8
Levitating (feat. DaBaby),"Dua Lipa, DaBaby",2,2020,3,27,15894,8,1802514301,198,13,103,70,92,83,1,0,7,6
No Role Modelz,J. Cole,1,2014,12,9,21164,36,1791000570,80,65,100,70,47,52,30,0,6,33
Do I Wanna Know?,Arctic Monkeys,1,2013,1,1,33783,26,1788326445,133,92,85,55,42,53,17,0,22,3
Dakiti,"Bad Bunny, Jhay Cortez",2,2020,10,30,11215,21,1763363713,189,166,110,73,14,57,40,0,11,5
Memories,Maroon 5,1,2019,9,20,9974,2,1759567999,272,67,91,77,60,32,84,0,8,5
Yellow,Chris Molitor,1,1999,1,1,31358,43,1755214421,196,2,173,43,28,66,0,0,23,3
MONTERO (Call Me By Your Name),Lil Nas X,1,2020,9,18,12329,0,1735441776,275,19,179,61,76,51,30,0,38,15
